"","ibge7","municipio","X2000","X2010","long","latit"
"1",3100104,"Abadia dos Dourados",16.64,11.05,-47.2411,-18.2908
"2",3100203,"Abaeté",15.27,10.68,-45.2645,-19.0936
"3",3100302,"Abre Campo",20.81,15.08,-42.2839,-20.1804
"4",3100401,"Acaiaca",24.22,17.13,-43.0841,-20.2145
"5",3100500,"Açucena",34.43,24.9,-42.3247,-19.0423
"6",3100609,"Água Boa",47.34,36.15,-42.232,-17.5946
"7",3100708,"Água Comprida",12,9.58,-48.0632,-20.0323
"8",3100807,"Aguanil",22.19,15.92,-45.2334,-20.5633
"9",3100906,"Águas Formosas",43.19,31.36,-40.5609,-17.0456
"10",3101003,"Águas Vermelhas",46.17,36.55,-41.2736,-15.445
"11",3101102,"Aimorés",24.81,17.71,-41.035,-19.2945
"12",3101201,"Aiuruoca",20.8,17.17,-44.3611,-21.5832
"13",3101300,"Alagoa",21.01,17.27,-44.3831,-22.1014
"14",3101409,"Albertina",20.96,14.77,-46.3657,-22.1203
"15",3101508,"Além Paraíba",11.42,7.57,-42.4216,-21.5316
"16",3101607,"Alfenas",10.92,7.15,-45.565,-21.2545
"17",3101631,"Alfredo Vasconcelos",20.6,12.61,-43.4637,-21.0843
"18",3101706,"Almenara",39.68,27.66,-40.414,-16.1101
"19",3101805,"Alpercata",28.84,20.25,-41.5813,-18.5827
"20",3101904,"Alpinópolis",13.41,9.49,-46.2317,-20.5149
"21",3102001,"Alterosa",18.27,12.69,-46.0835,-21.1457
"22",3102050,"Alto Caparaó",21.08,14.27,-41.5206,-20.26
"23",3153509,"Alto Jequitibá",17.26,12.98,-41.5759,-20.2526
"24",3102100,"Alto Rio Doce",24.02,18.43,-43.2441,-21.0133
"25",3102209,"Alvarenga",31.2,22.54,-41.4343,-19.2502
"26",3102308,"Alvinópolis",18.36,13.66,-43.0256,-20.0624
"27",3102407,"Alvorada de Minas",34.43,25.98,-43.2155,-18.441
"28",3102506,"Amparo da Serra",28.73,20.64,-42.4809,-20.3026
"29",3102605,"Andradas",15.32,10.36,-46.3409,-22.0405
"30",3102803,"Andrelândia",17.65,12.97,-44.1833,-21.4423
"31",3102852,"Angelândia",44.63,34.71,-42.0945,-17.3608
"32",3102902,"Antônio Carlos",19.6,14.28,-43.4448,-21.1905
"33",3103009,"Antônio Dias",28.26,20.09,-42.522,-19.391
"34",3103108,"Antônio Prado de Minas",16.4,13.03,-42.0634,-21.0058
"35",3103207,"Araçaí",11.84,12.69,-44.1453,-19.1155
"36",3103306,"Aracitaba",23.51,15.28,-43.2242,-21.2033
"37",3103405,"Araçuaí",31.93,22.58,-42.0413,-16.5059
"38",3103504,"Araguari",8.5,5.83,-48.1114,-18.385
"39",3103603,"Arantina",18.77,12.13,-44.1521,-21.544
"40",3103702,"Araponga",36.71,28.67,-42.3115,-20.4
"41",3103751,"Araporã",15.21,10.63,-49.1106,-18.261
"42",3103801,"Arapuá",16.22,9.56,-46.092,-19.0202
"43",3103900,"Araújos",16.25,10.29,-45.0956,-19.5653
"44",3104007,"Araxá",9.09,5.16,-46.5626,-19.3536
"45",3104106,"Arceburgo",17.08,13.19,-46.5624,-21.2151
"46",3104205,"Arcos",9.95,6.05,-45.3222,-20.1655
"47",3104304,"Areado",15.85,8.9,-46.0844,-21.2131
"48",3104403,"Argirita",17.17,12.8,-42.501,-21.3636
"49",3104452,"Aricanduva",40.72,28.65,-42.3325,-17.5202
"50",3104502,"Arinos",30.02,19.26,-46.062,-15.5501
"51",3104601,"Astolfo Dutra",14.53,8.66,-42.5144,-21.1855
"52",3104700,"Ataléia",43.34,32.11,-41.0636,-18.0237
"53",3104809,"Augusto de Lima",23.35,17.94,-44.1601,-18.0633
"54",3104908,"Baependi",18.71,12.39,-44.5324,-21.5732
"55",3105004,"Baldim",17.69,11.43,-43.5725,-19.1718
"56",3105103,"Bambuí",14.44,9.29,-45.5837,-20.0023
"57",3105202,"Bandeira",48.77,37.73,-40.3334,-15.5305
"58",3105301,"Bandeira do Sul",15.97,12.47,-46.2309,-21.4341
"59",3105400,"Barão de Cocais",11.93,5.91,-43.2914,-19.5645
"60",3105509,"Barão do Monte Alto",24.68,20.15,-42.1415,-21.1442
"61",3105608,"Barbacena",10.66,6.66,-43.4625,-21.1333
"62",3105707,"Barra Longa",21.16,18.8,-43.0228,-20.1658
"63",3105905,"Barroso",10.89,7.93,-43.5833,-21.1113
"64",3106002,"Bela Vista de Minas",13.38,8.67,-43.0528,-19.4949
"65",3106101,"Belmiro Braga",18.93,15.43,-43.2454,-21.5655
"66",3106200,"Belo Horizonte",5.82,3.45,-43.5616,-19.5515
"67",3106309,"Belo Oriente",23.89,14.92,-42.2901,-19.1312
"68",3106408,"Belo Vale",14.34,10.45,-44.0128,-20.2428
"69",3106507,"Berilo",39.13,27.84,-42.2756,-16.5706
"70",3106655,"Berizal",43.86,32.74,-41.4442,-15.3648
"71",3106606,"Bertópolis",45.33,34.95,-40.3428,-17.0347
"72",3106705,"Betim",11.56,6.82,-44.1154,-19.5804
"73",3106804,"Bias Fortes",22.3,17.91,-43.4525,-21.3622
"74",3106903,"Bicas",10.41,7.84,-43.0334,-21.4331
"75",3107000,"Biquinhas",20.2,13.06,-45.3008,-18.4658
"76",3107109,"Boa Esperança",15.17,9.63,-45.3357,-21.0524
"77",3107208,"Bocaina de Minas",27.62,21.2,-44.2341,-22.1003
"78",3107307,"Bocaiúva",24.19,16.38,-43.4854,-17.0628
"79",3107406,"Bom Despacho",11.74,7.29,-45.1508,-19.4411
"80",3107505,"Bom Jardim de Minas",15.52,13.71,-44.1128,-21.565
"81",3107604,"Bom Jesus da Penha",16.24,13.47,-46.3121,-21.0101
"82",3107703,"Bom Jesus do Amparo",22.67,12.66,-43.2825,-19.4213
"83",3107802,"Bom Jesus do Galho",29.18,22.94,-42.1858,-19.4944
"84",3107901,"Bom Repouso",21.07,13.51,-46.0842,-22.2816
"85",3108008,"Bom Sucesso",21.08,15.12,-44.4529,-21.0159
