"municipio","X2000","X2010","long","latit"
"Abadia dos Dourados",16.64,11.05,-47.402778,-18.485833
"Água Comprida",12,9.58,-48.108889,-20.055833
"Araguari",8.5,5.83,-48.186944,-18.648889
"Araporã",15.21,10.63,-49.186944,-18.436944
"Arapuá",16.22,9.56,-46.155833,-19.033889
"Araxá",9.09,5.16,-46.940833,-19.592778
"Cachoeira Dourada",25.4,15.35,-49.500833,-18.515
"Campina Verde",14.86,9.63,-49.485833,-19.535833
"Campo Florido",16.69,10.84,-48.571944,-19.755278
"Campos Altos",16.47,12.31,-46.170833,-19.6875
"Canápolis",18.95,18.09,-49.203889,-18.725
"Capinópolis",21.09,15.42,-49.57,-18.680556
"Carmo do Paranaíba",14.42,10.56,-46.315833,-19.000833
"Carneirinho",23.86,14.39,-50.687778,-19.695
"Cascalho Rico",9.7,7.83,-47.876944,-18.575833
"Centralina",20.98,14.62,-49.198889,-18.583889
"Comendador Gomes",13.51,10.23,-49.080833,-19.697778
"Conceição das Alagoas",16.37,10.78,-48.387778,-19.915
"Conquista",15.44,12.77,-47.541944,-19.936944
"Coromandel",13.99,9.81,-47.2,-18.472778
"Cruzeiro da Fortaleza",9.95,13.92,-46.673889,-18.945833
"Delta",21.55,17.31,-47.804167,-19.976944
"Douradoquara",15.65,9.1,-47.608889,-18.430833
"Estrela do Sul",18.28,13.94,-47.692778,-18.745833
"Fronteira",13.62,12.89,-49.198889,-20.267778
"Frutal",11.32,7.88,-48.940833,-20.025
"Grupiara",13.38,9.58,-47.721944,-18.493889
"Guimarânia",12.63,11.17,-46.792778,-18.843889
"Gurinhatã",17.07,17.3,-49.785833,-19.212778
"Ibiá",12.43,7.83,-46.538889,-19.477778
"Indianópolis",16.25,13.86,-47.916944,-19.038889
"Ipiaçu",22.41,19.52,-49.942778,-18.691944
"Iraí de Minas",15.37,10.54,-47.460833,-18.983889
"Itapagipe",12.49,7.87,-49.380833,-19.908889
"Ituiutaba",14.03,10.34,-49.465,-18.968889
"Iturama",15.92,10.94,-50.195833,-19.727778
"Lagoa Formosa",16.99,13.44,-46.407778,-18.778889
"Limeira do Oeste",23.12,16.24,-50.580833,-19.550833
"Matutina",18.2,14,-45.968889,-19.222778
"Monte Alegre de Minas",15.5,13.85,-48.880833,-18.870833
"Monte Carmelo",12.99,9.38,-47.498889,-18.725
"Nova Ponte",14.65,11.21,-47.727222,-19.198333
"Patos de Minas",10.01,6.66,-46.517778,-18.578889
"Patrocínio",11.62,8.1,-46.992778,-18.943889
"Pedrinópolis",13.61,12.53,-47.461944,-19.227778
"Perdizes",15.7,10.09,-47.291667,-19.352778
"Pirajuba",14.93,10.87,-48.700833,-19.906944
"Planura",14,10.47,-48.701944,-20.137778
"Prata",16.02,11.8,-48.923889,-19.306944
"Pratinha",18.74,13.42,-46.377778,-19.750833
"Rio Paranaíba",13.41,10.95,-46.246944,-19.193889
"Romaria",13.25,10.13,-47.585833,-18.882778
"Sacramento",12.69,7.85,-47.44,-19.865
"Santa Juliana",13.41,8.74,-47.524167,-19.308889
"Santa Rosa da Serra",22.97,15.47,-45.965833,-19.53
"Santa Vitória",21.55,14.98,-50.120833,-18.838889
"São Francisco de Sales",19.64,12.84,-49.773889,-19.862778
"São Gotardo",14.66,10.12,-46.048889,-19.310833
"Serra do Salitre",16.94,11.49,-46.69,-19.110833
"Tapira",15.01,8.33,-46.822778,-19.921944
"Tiros",17.42,12.8,-45.963889,-19.003889
"Tupaciguara",16.2,11.45,-48.705,-18.592778
"Uberaba",7.88,5.11,-47.931944,-19.747778
"Uberlândia",7.04,4.65,-48.276944,-18.918889
"União de Minas",22.49,17.19,-50.335833,-19.53
"Veríssimo",17.43,15.1,-48.307778,-19.662778
