"local","ano","total_ano"
"Brasil",2020,757179
"Norte",2020,67997
"Rondônia",2020,10473
"Acre",2020,2768
"Amazonas",2020,13309
"Roraima",2020,1666
"Pará",2020,31523
"Amapá",2020,1416
"Tocantins",2020,6842
"Nordeste",2020,171686
"Maranhão",2020,17936
"Piauí",2020,5915
"Ceará",2020,30153
"Rio Grande do Norte",2020,10019
"Paraíba",2020,12724
"Pernambuco",2020,33814
"Alagoas",2020,10633
"Sergipe",2020,4604
"Bahia",2020,45888
"Sudeste",2020,352985
"Minas Gerais",2020,77862
"Espírito Santo",2020,18739
"Rio de Janeiro",2020,59629
"São Paulo",2020,196755
"Sul",2020,97148
"Paraná",2020,45764
"Santa Catarina",2020,24198
"Rio Grande do Sul",2020,27186
"Centro-Oeste",2020,67363
"Mato Grosso do Sul",2020,10975
"Mato Grosso",2020,12882
"Goiás",2020,28320
"Distrito Federal",2020,15186
