"local","ano","total_ano"
"Brasil",2020,"2569"
"Norte",2020,"81"
"Rondônia",2020,"11"
"Acre",2020,"2"
"Amazonas",2020,"24"
"Roraima",2020,"5"
"Pará",2020,"28"
"Amapá",2020,"3"
"Tocantins",2020,"8"
"Nordeste",2020,"369"
"Maranhão",2020,"21"
"Piauí",2020,"4"
"Ceará",2020,"73"
"Rio Grande do Norte",2020,"26"
"Paraíba",2020,"49"
"Pernambuco",2020,"72"
"Alagoas",2020,"28"
"Sergipe",2020,"7"
"Bahia",2020,"89"
"Sudeste",2020,"1531"
"Minas Gerais",2020,"214"
"Espírito Santo",2020,"61"
"Rio de Janeiro",2020,"164"
"São Paulo",2020,"1092"
"Sul",2020,"342"
"Paraná",2020,"130"
"Santa Catarina",2020,"110"
"Rio Grande do Sul",2020,"102"
"Centro-Oeste",2020,"246"
"Mato Grosso do Sul",2020,"31"
"Mato Grosso",2020,"45"
"Goiás",2020,"102"
"Distrito Federal",2020,"68"
