"local","ano","total_ano"
"Brasil",2022,"6632"
"Norte",2022,"292"
"Rondônia",2022,"30"
"Acre",2022,"8"
"Amazonas",2022,"76"
"Roraima",2022,"21"
"Pará",2022,"123"
"Amapá",2022,"26"
"Tocantins",2022,"8"
"Nordeste",2022,"1142"
"Maranhão",2022,"68"
"Piauí",2022,"25"
"Ceará",2022,"291"
"Rio Grande do Norte",2022,"81"
"Paraíba",2022,"128"
"Pernambuco",2022,"272"
"Alagoas",2022,"56"
"Sergipe",2022,"36"
"Bahia",2022,"185"
"Sudeste",2022,"3746"
"Minas Gerais",2022,"639"
"Espírito Santo",2022,"112"
"Rio de Janeiro",2022,"544"
"São Paulo",2022,"2451"
"Sul",2022,"902"
"Paraná",2022,"323"
"Santa Catarina",2022,"308"
"Rio Grande do Sul",2022,"271"
"Centro-Oeste",2022,"550"
"Mato Grosso do Sul",2022,"97"
"Mato Grosso",2022,"97"
"Goiás",2022,"204"
"Distrito Federal",2022,"152"
