"local","ano","total_ano"
"Brasil",2022,"4390"
"Norte",2022,"170"
"Rondônia",2022,"22"
"Acre",2022,"11"
"Amazonas",2022,"29"
"Roraima",2022,"31"
"Pará",2022,"64"
"Amapá",2022,"11"
"Tocantins",2022,"2"
"Nordeste",2022,"625"
"Maranhão",2022,"30"
"Piauí",2022,"15"
"Ceará",2022,"145"
"Rio Grande do Norte",2022,"51"
"Paraíba",2022,"70"
"Pernambuco",2022,"133"
"Alagoas",2022,"27"
"Sergipe",2022,"30"
"Bahia",2022,"124"
"Sudeste",2022,"2466"
"Minas Gerais",2022,"479"
"Espírito Santo",2022,"82"
"Rio de Janeiro",2022,"357"
"São Paulo",2022,"1548"
"Sul",2022,"573"
"Paraná",2022,"191"
"Santa Catarina",2022,"216"
"Rio Grande do Sul",2022,"166"
"Centro-Oeste",2022,"556"
"Mato Grosso do Sul",2022,"48"
"Mato Grosso",2022,"263"
"Goiás",2022,"122"
"Distrito Federal",2022,"123"
