"local","ano","total_ano"
"Brasil",2023,"7023"
"Norte",2023,"310"
"Rondônia",2023,"45"
"Acre",2023,"16"
"Amazonas",2023,"72"
"Roraima",2023,"13"
"Pará",2023,"136"
"Amapá",2023,"14"
"Tocantins",2023,"14"
"Nordeste",2023,"1212"
"Maranhão",2023,"50"
"Piauí",2023,"39"
"Ceará",2023,"299"
"Rio Grande do Norte",2023,"95"
"Paraíba",2023,"98"
"Pernambuco",2023,"305"
"Alagoas",2023,"56"
"Sergipe",2023,"31"
"Bahia",2023,"239"
"Sudeste",2023,"3988"
"Minas Gerais",2023,"683"
"Espírito Santo",2023,"99"
"Rio de Janeiro",2023,"579"
"São Paulo",2023,"2627"
"Sul",2023,"976"
"Paraná",2023,"389"
"Santa Catarina",2023,"303"
"Rio Grande do Sul",2023,"284"
"Centro-Oeste",2023,"537"
"Mato Grosso do Sul",2023,"109"
"Mato Grosso",2023,"77"
"Goiás",2023,"204"
"Distrito Federal",2023,"147"
