Número Reds;Data/Hora Ocorrência;Faixa 1 Hora Fato;Mês;Ano;Dia da Semana;Status Registro;Natureza Principal;Tentado/Consumado Nat Principal;Causa Presumida;Meio Utilizado;Perímetro;Local Imediato;Bairro;Município (Código);Município (Fato);UF - Sigla
2025-009747619-001;28/2/25 11:21 PM;De 23:00 as 23:59;2;2025;Sexta-Feira;FECHADO;INJURIA RACIAL;CONSUMADO;HOMOFOBIA/LESBOFOBIA/BIFOBIA/TRANSFOBIA;FALA;URBANO;CONDOMINIO FECHADO;PIRATININGA;310620;BELO HORIZONTE;MG
2025-009656379-001;28/2/25 9:30 AM;De 09:00 as 09:59;2;2025;Sexta-Feira;FECHADO;INJURIA;CONSUMADO;HOMOFOBIA/LESBOFOBIA/BIFOBIA/TRANSFOBIA;USO DE SINAIS, GESTOS OU IMAGENS;URBANO;OUTROS - ESTABELECIMENTOS COMERCIAIS / SERVIC;SANTA BRANCA;310620;BELO HORIZONTE;MG
2025-009461009-001;27/2/25 2:25 PM;De 14:00 as 14:59;2;2025;Quinta-Feira;FECHADO;INJURIA;CONSUMADO;HOMOFOBIA/LESBOFOBIA/BIFOBIA/TRANSFOBIA;FALA;URBANO;VIA DE ACESSO PUBLICA;JARDIM EUROPA;312510;EXTREMA;MG
2025-009441970-001;27/2/25 5:00 AM;De 05:00 as 05:59;2;2025;Quinta-Feira;FECHADO;INJURIA;CONSUMADO;HOMOFOBIA/LESBOFOBIA/BIFOBIA/TRANSFOBIA;FALA;URBANO;BAR / LANCHONETE / RESTAURANTE / SIMILAR;PRADO;310620;BELO HORIZONTE;MG
2025-009504090-001;26/2/25 3:30 PM;De 15:00 as 15:59;2;2025;Quarta-Feira;FECHADO;INJURIA RACIAL;CONSUMADO;HOMOFOBIA/LESBOFOBIA/BIFOBIA/TRANSFOBIA;FALA;URBANO;BAR / LANCHONETE / RESTAURANTE / SIMILAR;CENTRO;315180;POCOS DE CALDAS;MG
2025-009098384-001;25/2/25 3:32 PM;De 15:00 as 15:59;2;2025;Terça-Feira;FECHADO;OUTRAS ACOES DEFESA SOCIAL;CONSUMADO;HOMOFOBIA/LESBOFOBIA/BIFOBIA/TRANSFOBIA;FALA;URBANO;LOJA DIVERSA;CENTRO;312230;DIVINOPOLIS;MG
2025-009130720-001;24/2/25 10:08 PM;De 22:00 as 22:59;2;2025;Segunda-Feira;FECHADO;OUTRAS INFRACOES CONTRA DIGNIDADE SEXUAL E A FAMILIA;CONSUMADO;HOMOFOBIA/LESBOFOBIA/BIFOBIA/TRANSFOBIA;FALA;URBANO;CASA;ITAIPU;310620;BELO HORIZONTE;MG
2025-009048099-001;24/2/25 8:30 PM;De 20:00 as 20:59;2;2025;Segunda-Feira;FECHADO;INJURIA;CONSUMADO;HOMOFOBIA/LESBOFOBIA/BIFOBIA/TRANSFOBIA;FALA;URBANO;VIA DE ACESSO PUBLICA;;311090;CAMPANHA;MG
2025-008941617-001;24/2/25 5:33 PM;De 17:00 as 17:59;2;2025;Segunda-Feira;FECHADO;AMEACA;CONSUMADO;HOMOFOBIA/LESBOFOBIA/BIFOBIA/TRANSFOBIA;FALA;URBANO;MERCEARIA / SACOLAO / SUPERMERCADO;CENTRO;314800;PATOS DE MINAS;MG
2025-008933006-001;24/2/25 5:19 PM;De 17:00 as 17:59;2;2025;Segunda-Feira;FECHADO;DIFAMACAO;CONSUMADO;HOMOFOBIA/LESBOFOBIA/BIFOBIA/TRANSFOBIA;FALA;URBANO;CLUBE SOCIAL / LAZER / ESPORTIVO;ALIPIO DE MELO;310620;BELO HORIZONTE;MG
2025-008899276-001;24/2/25 2:49 PM;De 14:00 as 14:59;2;2025;Segunda-Feira;FECHADO;INJURIA;CONSUMADO;HOMOFOBIA/LESBOFOBIA/BIFOBIA/TRANSFOBIA;ESCRITA FISICA;URBANO;INSTITUICAO DE ENSINO PUBLICO ESTADUAL;CENTRO;313670;JUIZ DE FORA;MG
2025-009279891-001;24/2/25 12:00 PM;De 12:00 as 12:59;2;2025;Segunda-Feira;FECHADO;INJURIA;CONSUMADO;HOMOFOBIA/LESBOFOBIA/BIFOBIA/TRANSFOBIA;FALA;URBANO;VIA DE ACESSO PUBLICA;NOVO SANTO ANTONIO;312610;FORMIGA;MG
2025-008853790-001;24/2/25 10:20 AM;De 10:00 as 10:59;2;2025;Segunda-Feira;FECHADO;AMEACA;CONSUMADO;HOMOFOBIA/LESBOFOBIA/BIFOBIA/TRANSFOBIA;MEIO ELETRONICO (INTERNET OU SMS);URBANO;CASA;VILA IPE;314510;NOVA RESENDE;MG
2025-008865544-001;24/2/25 9:56 AM;De 09:00 as 09:59;2;2025;Segunda-Feira;FECHADO;INJURIA RACIAL;CONSUMADO;HOMOFOBIA/LESBOFOBIA/BIFOBIA/TRANSFOBIA;OFERECIMENTO DE VANTAGEM A VITIMA;URBANO;INSTITUICAO DE ENSINO PUBLICO ESTADUAL;SANTA EFIGENIA;313190;ITABIRITO;MG
2025-008643896-001;22/2/25 9:40 PM;De 21:00 as 21:59;2;2025;Sabado;FECHADO;INJURIA;CONSUMADO;HOMOFOBIA/LESBOFOBIA/BIFOBIA/TRANSFOBIA;FALA;URBANO;CASA;CENTRO;311790;CONGONHAL;MG
2025-008542406-001;22/2/25 7:41 AM;De 07:00 as 07:59;2;2025;Sabado;FECHADO;RACISMO - IMPEDE ACESSO A COMERCIO/NAO SERVE CLIENTE;CONSUMADO;HOMOFOBIA/LESBOFOBIA/BIFOBIA/TRANSFOBIA;OUTROS MEIOS;URBANO;BAR / LANCHONETE / RESTAURANTE / SIMILAR;CENTRO;310620;BELO HORIZONTE;MG
